feature_id,activation,molecule_idx,smiles,token_position,token_str
138,19.950443267822266,7399,CCn1c([C@H](C)[NH2+]C[C@H](C)CO)nc2ccccc21,27,21
138,19.8992862701416,41295,CCn1c([C@@H](C)[NH2+][C@@H](C)CCc2cccn2C)nc2ccccc21,29,21
138,19.866540908813477,28949,COCC[C@H](C)C(=O)OCCN1C(=O)NCc2ccccc21,22,21
138,19.81498146057129,36024,C[C@H]1CCC[C@]1(O)[C@]1(C#N)CCOc2ccccc21,27,21
138,19.773666381835938,15326,CCn1c([C@H](C)NC(=O)C#Cc2ccccc2)[nH+]c2ccccc21,27,21
138,19.767621994018555,45482,CC(C)c1ccccc1OCCCCn1c(CNC(=O)[C@H]2CCCO2)nc2ccccc21,28,21
138,19.767478942871094,29695,C[C@@H]1CN(C(=O)NCC(C)(C)N2CCOCC2)c2ccccc21,28,21
138,19.735889434814453,39957,C=CCC[C@H](CC)NC[C@@]1(O)CCc2ccccc21,22,21
138,19.721065521240234,45897,O=C(N[C@@H]1CCCOc2ccccc21)N1CCc2ccccc21,22,21
138,19.719345092773438,16465,CCC(CC)N1C[C@@H](C2CC2)[NH2+]Cc2ccccc21,24,21
1515,19.2873592376709,44335,N#Cc1csc(C(=O)NCCCNC(=O)C2CCC2)c1,2,#
1515,18.723377227783203,16226,CC#CCOC(=O)c1cc(-c2ccccc2)c(C)[nH]c1=O,2,#
1515,18.2981014251709,45702,N#Cc1nc(N2CCO[C@@H](C(N)=O)C2)ccc1Cl,2,#
1515,18.287416458129883,1420,N#CCc1ccc(S(=O)(=O)NCC(=O)[O-])cc1,2,#
1515,18.18925666809082,13291,CC#CCOC(=O)Cc1csc(NC(=O)c2ccco2)n1,2,#
1515,17.95003890991211,49386,N#Cc1ccc(S(=O)(=O)Nc2cnn(CCO)c2)cc1,2,#
1515,17.916587829589844,32834,N#Cc1c(COC(=O)CCNS(=O)(=O)c2ccc(F)c(F)c2)cn2ccccc12,2,#
1515,17.91289520263672,26707,N#Cc1nc(NC(=O)[C@@H]2Cc3ccccc3S2)[n-]c1C#N,2,#
1515,17.899742126464844,39332,N#Cc1csc(C(=O)O[C@@H](c2ccccc2)c2cccnc2)c1,2,#
1515,17.791521072387695,1699,N#Cc1c(NC(=O)Nc2ccccc2)oc2c1CCCC2,2,#
3035,18.410898208618164,23132,CCCNS(=O)(=O)c1ccc(OCC(=O)Nc2ccc(OC)cc2)cc1,4,)(=
3035,18.330902099609375,18431,NS(=O)(=O)c1cccc(NC(=O)CN2CCCc3cccc(F)c32)c1,4,)(=
3035,18.233047485351562,48727,CS(=O)(=O)c1ccc(NC(=O)NCCOc2ccc(Cl)cc2)cc1,4,)(=
3035,18.224515914916992,7522,NS(=O)(=O)c1ccc(NC(=O)C23CCC(CC2)C3)cc1,4,)(=
3035,18.198665618896484,40026,COCCS(=O)(=O)c1ccc(N)cc1,4,)(=
3035,18.162673950195312,20274,COCCNS(=O)(=O)c1ccc(Oc2cccc(Cl)c2)cc1,4,)(=
3035,18.161874771118164,44570,NS(=O)(=O)c1ccc([O-])cc1,4,)(=
3035,18.15980339050293,23987,CS(=O)(=O)c1ccc(OCC(=O)Nc2nccs2)cc1,4,)(=
3035,18.133934020996094,26772,CCOCCS(=O)(=O)c1ccc(O)cc1,4,)(=
3035,18.08725357055664,5994,NS(=O)(=O)c1ccc(NC(=O)N2CCCC2)c(Br)c1,4,)(=
