feature_id,activation,molecule_idx,smiles,token_position,token_str
2630,22.308595657348633,44695,O=C([O-])c1c(F)cccc1-n1nccn1,18,nccn
2630,21.92923355102539,10397,O=C([O-])c1c(F)cccc1-n1ccnc1,18,ccnc
2630,21.901857376098633,39594,CCOC(=O)c1ccc(Br)c(-n2cnnc2)c1,15,cnnc
2630,21.866806030273438,10656,CCc1ccsc1CNC(=O)c1ccc(-n2cnnn2)cc1Cl,15,cnnn
2630,21.83956527709961,35599,C[C@H]([NH2+][C@@H]1CCN(C)C1=O)c1ccc(-n2cnnn2)cc1,30,cnnn
2630,21.81942367553711,1237,Cc1c(CCC(=O)Nc2cc(-n3cnnn3)ccc2Cl)cnn1C,15,cnnn
2630,21.754945755004883,19296,CN(C)C(=O)CCNCc1ccc(-n2cccn2)cc1,15,cccn
2630,21.627700805664062,40822,COc1ccc(CCC(=O)Nc2ccc(-n3cnnn3)cc2)cc1OC,15,cnnn
2630,21.62749481201172,36842,COCC[C@H](C)C(=O)Nc1cc(-n2cnnn2)ccc1F,19,cnnn
2630,21.573257446289062,9436,CCOC(=O)C[C@@H](C)CNC(=O)c1ccccc1-n1cccn1,24,cccn
1600,20.45280647277832,38794,COc1ccc2c(c1)[C@]([NH3+])(C[NH3+])CCC2,14,+])(
1600,20.02984619140625,46061,C[C@H]1CCC[C@@]([NH3+])(CN2C[C@@H]3CCCN3C[C@@H]2C)C1,14,+])(
1600,20.02860450744629,14954,CCC(CC)([C@@H]([NH3+])c1cccc(F)c1F)[NH+](C)C,11,+])
1600,19.942607879638672,3496,CCC(CC)([C@@H]([NH3+])c1cccc(C)c1C)[NH+]1CCCC1,11,+])
1600,19.933931350708008,10245,CCN(CC[C@H]1CCC[C@]1([NH3+])C(=O)[O-])CC(F)(F)F,18,+])
1600,19.885658264160156,37735,CC[C@](C)([C@H]([NH3+])c1ccsc1)[NH+]1CCCCC1,13,+])
1600,19.78986167907715,7789,CC[C@@H]1CC[C@@](C[NH3+])(C2(O)CCCCCC2)C1,16,+])(
1600,19.767536163330078,25313,CCCN1CCN([C@@H]2CCC[C@@]([NH3+])(C(=O)[O-])C2)CC1,16,+])(
1600,19.745019912719727,38433,CC[C@@H]1CC[C@](C[NH3+])(N(C)C[C@@H]2CCCN2C)C1,16,+])(
